city,state_id,lat,lng,population,density,id
Helena,MT,46.5963,-112.0196,49812,729,341
Marysville,WA,48.0812,-122.1559,163547,1261,342
Everett,WA,47.9524,-122.1672,109043,1271,343
Mount Vernon,WA,48.4203,-122.3114,68613,1093,344
Bullhead City,AZ,35.1205,-114.546,49184,259,345
Brownsville,TX,25.9981,-97.4566,228534,535,346
Corpus Christi,TX,27.7173,-97.3822,341570,720,347
Eagle Pass,TX,28.7118,-100.4832,54091,1158,348
Baytown,TX,29.7607,-94.9628,75992,761,349
Beaumont,TX,30.0849,-94.1451,147935,556,350
Del Rio,TX,29.3706,-100.8798,44414,683,351
Austin,TX,30.3038,-97.7545,1633847,1170,352
Conroe,TX,30.3174,-95.4705,82286,583,353
Cedar Park,TX,30.5133,-97.818,68918,1120,354
College Station,TX,30.5857,-96.296,204710,855,355
Bryan,TX,30.6661,-96.367,83260,710,356
Abilene,TX,32.4543,-99.7384,115285,442,357
Burleson,TX,32.52,-97.3341,45016,667,358
DeSoto,TX,32.5992,-96.8634,52599,939,359
Dallas,TX,32.7938,-96.7659,5634307,1490,360
Irving,TX,32.8584,-96.9702,238289,1372,361
Carrollton,TX,32.9885,-96.9001,133351,1419,362
Cedar Hill,TX,32.5809,-96.9592,48343,520,363
Keller,TX,32.9337,-97.2256,46646,975,364
Bedford,TX,32.8464,-97.135,49528,1909,365
Arlington,TX,32.6998,-97.1251,392772,1581,366
Allen,TX,33.1087,-96.6735,99179,1451,367
Denton,TX,33.2165,-97.1411,432200,554,368
Casa Grande,AZ,32.907,-111.7623,57635,190,369
Carlsbad,CA,33.1246,-117.2836,113952,1166,370
Chula Vista,CA,32.6281,-117.0144,267172,2078,371
Cypress,CA,33.8171,-118.0386,48906,2854,372
Costa Mesa,CA,33.6667,-117.9135,112822,2770,373
Irvine,CA,33.6772,-117.7738,266122,1566,374
Buena Park,CA,33.8572,-118.0046,83156,3052,375
Brea,CA,33.9255,-117.8654,42471,1344,376
Anaheim,CA,33.839,-117.8572,351043,2712,377
Aliso Viejo,CA,33.5792,-117.729,51424,2869,378
